Title,URL,City,Type,Area,Price,Purpose,Location,Description,Built in year,Parking Spaces,Double Glazed Windows,Central Air Conditioning,Central Heating,Flooring,Electricity Backup,Waste Disposal,Floors,Other Main Features,Furnished,Bedrooms,Bathrooms,Servant Quarters,Drawing Room,Dining Room,Kitchens,Study Room,Prayer Room,Powder Room,Store Rooms,Steam Room,Lounge or Sitting Room,Laundry Room,Other Rooms,Broadband Internet Access,Satellite or Cable TV Ready,Intercom,Community Lawn or Garden,Community Swimming Pool,Community Gym,First Aid or Medical Centre,Day Care Centre,Kids Play Area,Barbeque Area,Mosque,Community Centre,Lawn or Garden,Sauna,Jacuzzi,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Maintenance Staff,Security Staff,Other Facilities
Avenue House Elite Property Brand New Designer House For Sale,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_-_sector_c_avenue_house_elite_property_brand_new_designer_house_for_sale-52730377-8402-1.html,Islamabad,House,1 Kanal,"PKR
9.5 Crore",For Sale,"DHA Defence, Islamabad, Islamabad Capital",,2025,3,,,,,,,1,,,5,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAND NEW 5 MARLA HOUSE FOR SALE ON INSTALLMENT,https://www.zameen.com/Property/park_view_city_park_view_-_block_h_brand_new_5_marla_house_for_sale_on_installment-52575576-16868-1.html,Islamabad,House,5 Marla,"PKR
3.5 Crore",For Sale,"Park View City, Islamabad, Islamabad Capital",,2025,2,,,,,,,2,,,4,5,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy A 1 Kanal House For Sale In I-8/4,https://www.zameen.com/Property/i_8_i-8_4_buy_a_1_kanal_house_for_sale_in_i-8_4-52639142-3444-1.html,Islamabad,House,1 Kanal,"PKR
18 Crore",For Sale,"I-8, Islamabad, Islamabad Capital","Searching for a great property to buy? Explore this one! Cities can become homes, and you will know it to be true in Islamabad. We have the House you have been waiting to purchase. The location of the House in I-8/4 is such that all the attractions and landmarks of the city are easily accessible from it. In 1 Kanal you're getting a house with all kinds of amenities so make a move to buy it today. If you really look for a property on a budget within Rs. 180000000 then check out this one. 

Important details of the property are listed below. 
You can customize the study room in the House any way you like. 
A well-fitted powder room is one of the best features of this residence. 
Your kids can play to their heart's content in the play area adjoining the property. 
Your guests will be left in admiration as they see your beautiful drawing room of this House. 
You can enjoy all seasons from inside through double glazed windows in your House. 
Feel rejuvenated in the steam room that is part of the House. 
With central heating available in the House, now you can stay active indoors as well during the cold months. 


Contact us now to know all you need to make the best property decisions!",,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Your Hands On House In Islamabad Best Area,https://www.zameen.com/Property/f_10_f-10_3_get_your_hands_on_house_in_islamabad_best_area-52644202-3278-1.html,Islamabad,House,1 Kanal,"PKR
18 Crore",For Sale,"F-10, Islamabad, Islamabad Capital","House is available for sale in prime location of Islamabad

6 bed with attached bath
DD
Tv Lounge
Kitchen
Store room
Car parking

Contact us for more information and direct deal.",,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Palatial Residence For Sale In I-9/4 Islamabad,https://www.zameen.com/Property/i_9_i-9_4_a_palatial_residence_for_sale_in_i-9_4_islamabad-52649051-3450-1.html,Islamabad,House,8 Marla,"PKR
5.25 Crore",For Sale,"I-9, Islamabad, Islamabad Capital","House is available for sale

7 bed with attached bath
DD
Tv Lounge
Kitchen
Store room
Car parking
Cda transfer

Contact us for more information and direct deal.",,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spacious 4 Marla House Available For sale In G-13/1,https://www.zameen.com/Property/g_13_g-13_1_spacious_4_marla_house_available_for_sale_in_g-13_1-52502010-3337-1.html,Islamabad,House,4 Marla,"PKR
3.1 Crore",For Sale,"G-13, Islamabad, Islamabad Capital","4.5 marla house for sale in G-13/1 Islamabad

For Sale: Stunning 4.5 Marla Double Unit House in G-13/1, Islamabad
Discover your dream home in the heart of G-13/1! This beautifully designed 4.5 Marla double-unit house offers modern living with premium amenities, perfect for families seeking comfort and convenience. 
Key Features:
 Prime Location: Situated in the highly sought-after G-13/1, with easy access to major roads, markets, and amenities. 
 Double Unit Layout: Spacious and thoughtfully designed for modern living. 
 Ground Floor: 2 cozy bedrooms, a stylish drawing room, and a spacious living area perfect for family gatherings. 
 Upper Floor: 2 well-appointed bedrooms, a TV lounge for relaxation, and ample natural light. 
 Rooftop Bonus: An extra room on the roof, ideal for a home office, guest room, or storage. 
 Reliable Utilities: Water bore available, ensuring uninterrupted water supply. 
 Well-Maintained: Move-in ready with quality construction and finishes. 
This house is a rare gem in G-13/1, blending functionality with elegance. Dont miss the chance to own this perfect family home!

 Contact us today for a visit or more details.",,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Marla Double Unit House Available For Sale in Rawalpindi Housing Society C-18 Islamabad.,https://www.zameen.com/Property/c_18_rawalpindi_housing_society_5_marla_double_unit_house_available_for_sale_in_rawalpindi_housing_society_c-18_islamabad-47971549-8562-1.html,Islamabad,House,5 Marla,"PKR
1.35 Crore",For Sale,"C-18, Islamabad, Islamabad Capital","5 Marla Double Unit House Available For Sale. 
In Rawalpindi Housing Society C-18 Islamabad. 
43 Ft Front. 
30 Ft Length. 
2 Side Open. 
Water Bore. 
Gas Available in Street. 

House Size 43*30.
3 Bedrooms. 
4 Baths. 
2 Drawing Dining. 
2 TV Lounge. 
2 Kitchens. 
2 Car Parking Space. 
Electricity and Water Avaialble. 
All Facilities are Available. 
Near to Multi Garden B-17. 
Near to Sangjani M1 Motorway Interchange. 
Direct Access to Margalla Road. 
3 km From GT Road and CDA Sector C-16. 

Interested People Can Contact Easily.",2022,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-13 30x60 Brand new double story house available,https://www.zameen.com/Property/islamabad_g-13_g-13_30x60_brand_new_double_story_house_available-52715594-330-1.html,Islamabad,House,7 Marla,"PKR
6.5 Crore",For Sale,"G-13, Islamabad, Islamabad Capital","Tri star marketing
Brand New House For Sale Located At Prime Location Of G-13 Islamabad
Size ( 30x60 )8Marla
Great Opportunity For You, Don't Miss It. . . original Pictures Attached 

about The Property:
5 Bedrooms
5 Washrooms 
2 Drawing Room 
2 Kitchens 
2 Tv Lounge
Car Parking
Tile Flooring 
Double Unit House
Ideal Locality
Electricity & Gas Meters Are Available
Water Boring Running & Also Water Supply Facility Available

All Facilities Are Available Which Is The Need Of Living

Near To Main Double Road And Kashmir Highway 
Near To School, college, market, masjid
public Transport, hospitals And Etc. 

Located In One Of The Best Locations Of G-13
Islamabad
contact us",,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-13 40x80 Brand new double story Luxury House,https://www.zameen.com/Property/islamabad_g-13_g-13_40x80_brand_new_double_story_luxury_house-52720942-330-1.html,Islamabad,House,14 Marla,"PKR
10.5 Crore",For Sale,"G-13, Islamabad, Islamabad Capital","Tri star marketing
Brand New House For Sale Located At Prime Location Of G-13 Islamabad
Size ( 40x80 ) 14 Marla


about The Property:
6 Bedrooms
7 Washrooms 
2 Drawing Room 
2 Kitchens 
2 Tv Lounge
Car Parking
Tile Flooring 
1 Double Unit House
Ideal Locality
Electricity & Gas Meters Are Available
Water Boring Running & Also Water Supply Facility Available

All Facilities Are Available Which Is The Need Of Living

Near To Main Double Road And Kashmir Highway 
Near To School, college, market, masjid
public Transport, hospitals And Etc. 

Located In One Of The Best Locations Of G-13
Islamabad

just Call Us For VisitView Contact Detail",,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mall of Islamabad 2 Bed Possessionable Apartment 1874 Square Feet on 17th Floor Sunfacing and Ufone Tower Facing Available for Sale,https://www.zameen.com/Property/blue_area_mall_of_islamabad_mall_of_islamabad_2_bed_possessionable_apartment_1874_square_feet_on_17th_floor_sunfacing_and_ufone_tower_facing_available_for_sale-51492943-17132-1.html,Islamabad,Flat,8.3 Marla,"PKR
8.8 Crore",For Sale,"Blue Area, Islamabad, Islamabad Capital","Mall of Islamabad 2 Bed Possessionable Apartment 1874 Square Feet on 17th Floor Sunfacing and Ufone Tower Facing Available for Sale 

Note: The best Investment and opportunity is finally here. A project situated in the Heart of Islamabad (Mall of Islamabad) Jinnah Avenue Adjacent to Sector F-7, Blue Area, Islamabad

Details of Apartment are as under:

Floor 17th
Covered Area 1874
Possession Utility Charges Paid
100% Percent Work has been Done and Shared Pictures will Elaborate

Building Layout Plan are as under:

4 Levels Basement Car Parking

Lower Ground Greenvalley 

Ground Floor Plus 3 Floors Levels Commercial Shops

Fourth Floor 2 Tier Levels Food Court

Fifth Floor 2 Tier Levels (Maintenance and Services Area of Building)

Sixth Floor to Twelveth Floor Luxury Offices

Thirteenth Floor to Nineteenth Floor Luxury Apartments (1,2 & 3 Beds)

Twentyth Floor Health, Infinity Edge Sky Pool, Rooftop Fitness Center, SPA etc

Highly Recommended for Investment and Living Purpose 
Bahria Town, The Name Of Trust

Feel Free to Contact for Further Details",,2,,,,,,,,,,2,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Marla House In I-8/3 Is Available For sale,https://www.zameen.com/Property/i_8_i-8_3_14_marla_house_in_i-8_3_is_available_for_sale-52699542-3443-1.html,Islamabad,House,14 Marla,"PKR
13.5 Crore",For Sale,"I-8, Islamabad, Islamabad Capital","Triple storey house is available for sale in prime location of Islamabad

8 bedrooms with attached bath
DRAWING DINING
2 Tv Lounge
2 Kitchen
2 Store room
2 servant rooms 
Car parking 
Pindi facing 

Cda transfer 

Best Option For investors and end-users 
Top location 
Near to Markaz school masjid park 

More options also available 
Get in touch with us today for more information and direct deal.",2024,2,,,,,,,2,,,8,6,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Marla Property With 26 Marla Constructed House For Sale In Bani Gala Islamabad,https://www.zameen.com/Property/islamabad_bani_gala_32_marla_property_with_26_marla_constructed_house_for_sale_in_bani_gala_islamabad-52696879-340-1.html,Islamabad,House,1.6 Kanal,"PKR
6.1 Crore",For Sale,"Bani Gala, Islamabad, Islamabad Capital","Nestled in the serene and green surroundings of Bani Gala, this unique property spans a total of 32 Marlas, offering a blend of comfort, functionality, and future potential. With approx. 26 Marla constructed area, the house is thoughtfully designed for a peaceful lifestyle while leaving ample space for landscaping or future expansion. 

 Key Features:
2 spacious bedrooms, each with attached bathrooms

Elegant drawing and dining room, ideal for family gatherings and entertaining

Well-appointed kitchen on the main floor

Cozy upper lounge with a small kitchen counter, perfect for relaxation

2 beautiful terraces (upper and lower) offering scenic views and natural light

Garden area and storage space on the upper level

Adjacent small plot includedideal for gardening, outdoor seating, or additional construction

Whether you're looking for a quiet family home or a property with investment potential, this house in Bani Gala offers the best of both. The surrounding natural beauty, combined with a well-constructed living space, makes this an ideal choice for discerning buyers. 

 Location: Bani Gala, Islamabad
 Total Land Area: 32 Marlas.",2019,,,,,,,,,,,2,4,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Bedroom Furnished Apartment for Sale Al-Ghurair Giga Block 14, DHA-2 Islamabad",https://www.zameen.com/Property/al_ghurair_giga_al-ghurair_giga_-_block_14_2_bedroom_furnished_apartment_for_sale_al-ghurair_giga_block_14_dha-2_islamabad-52650805-15118-1.html,Islamabad,Flat,5.1 Marla,"PKR
1.07 Crore",For Sale,"DHA Defence, Islamabad, Islamabad Capital","Looking for a stylish, move-in-ready apartment in one of Islamabads most secure and vibrant communities? This 2-bedroom fully furnished apartment in Al-Ghurair Giga Block 14, DHA Phase 2 is the perfect choice for comfortable living or a smart investment. 

 Key Features:

2 Spacious Bedrooms
Fully Furnished 
Scenic Balcony with a Beautiful View
Attached Bathrooms & Equipped Kitchen

Building Amenities:

High-Speed Lift
 Parking space
Spacious Lobby
24/7 Security & CCTV
Front Desk Support

Community & Lifestyle:

Safe & Secure Gated Community
Family Park Nearby
Peaceful, Serene Environment
Pet-Friendly
Close to Hospitals, Schools & Shopping Malls

Whether you're looking for a new home or a profitable al property, this apartment offers excellent value in a prime location.",2012,,,,,,,,,,,2,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBR The Phase 1 Block Executive 5 Brand New House For Sale Size 25*50,https://www.zameen.com/Property/cbr_town_phase_1_cbr_town_phase_1_-_executive_block_cbr_the_phase_1_block_executive_5_brand_new_house_for_sale_size_25_50-52647036-16395-1.html,Islamabad,House,5 Marla,"PKR
1.6 Crore",For Sale,"CBR Town, Islamabad, Islamabad Capital",,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8 800 Sq Yard Old Livable House Prime Location 6 Bed Room D/D Tv L 2 Kitchen End Street Corner CDA Transfer,https://www.zameen.com/Property/islamabad_f-8_f8_800_sq_yard_old_livable_house_prime_location_6_bed_room_d_d_tv_l_2_kitchen_end_street_corner_cda_transfer-52608957-166-1.html,Islamabad,House,1.6 Kanal,"PKR
35 Crore",For Sale,"F-8, Islamabad, Islamabad Capital","F8 800 Syd Old Livable House Prime Location 6 Bed Room d/d tvl 2Kitchen End Gali Corner CDA Transfer

Prime Location 
6 Bedroom
TV Lounge
Gali Carner
Kitchen
CDA Transfer
Nice view
Servent Quarter
Dining
Drawing

Note. 
Contact Serious buyers only 
The Pictures are for Information. Further Details and Location will be shared on clients interest. 
Bright Homes
Luxury Real Estate

Deals in,
Luxury Houses F6, F7, F8, G6, E7 Islamabad
We also Deal in Commercial and Industrial Properties All CDA Sectors",,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40*80 Outstanding Top Class House for sale,https://www.zameen.com/Property/islamabad_d-12_40_80_outstanding_top_class_house_for_sale-52472361-160-1.html,Islamabad,House,14 Marla,"PKR
16 Crore",For Sale,"D-12, Islamabad, Islamabad Capital",,2025,3,,,,,,,3,,,6,6,2,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Apartment available for sale in J7 Emporium,https://www.zameen.com/Property/b_17_j7_emporium_studio_apartment_available_for_sale_in_j7_emporium-52462886-17263-1.html,Islamabad,Flat,3.2 Marla,"PKR
1.21 Crore",For Sale,"B-17, Islamabad, Islamabad Capital","J7 Emporium is a landmark project by J7 Group. J7 Emporium is located in Multi Gardens B -17 
Islamabad. B 17 is a CDA approved sector of Islamabad, offers its residents an experience that will 
blend a high living standard with the convenience of having all the necessary facilities in the vicinity. 
Projects Highlights 
Situated in the central location of Islamabad 
Luxurious apartments 
Spectacular architecture meets a stunning lifestyle 
NOC and Amnesty scheme approved project 
Easy instalment plan spanning 4 years 
46 Kanals & 30 Story Building .",2027,2,,,,,,,,,,-,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxury Semi Furnished 10 Marla Villa In Eighteen Available,https://www.zameen.com/Property/kashmir_highway_eighteen_luxury_semi_furnished_10_marla_villa_in_eighteen_available-51800500-12602-1.html,Islamabad,House,10 Marla,"PKR
5.6 Crore",For Sale,"Kashmir Highway, Islamabad, Islamabad Capital",,2023,2,,,,,,,2,,,4,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE FOR SALE IN G10 42X80 NEAR KASHMIR HIGHWAY,https://www.zameen.com/Property/islamabad_g-10_house_for_sale_in_g10_42x80_near_kashmir_highway-48943701-167-1.html,Islamabad,House,14.9 Marla,"PKR
9.55 Crore",For Sale,"G-10, Islamabad, Islamabad Capital","Zawiya Enterprises Is An Established Real Estate Consultancy Offering Advisory Services To Investors And Individuals Alike, Since Year 2000. 

We Are Known As A Reliable Service Provider In All Aspects Of Real Estate Business From Commercial To The Residencial And From Large Scale Deals For The Housing Societies To Highrise Building Projects In ICT, Bahria Town, DHA, Gulberg And Other Leading Societies In And Around TheTwin Cities. 

We Are A Registered With Real Estate Association And With FBR. 

We Cater All The Requirements Of Our Worthy Clients From Verification Of The Documents Of Land/ Plot/ Building To The Process Of NOC (WHERE REQUIRED) Till The Handing Over And Completion Of Transfer To The Staisfaction Of The Client In A Most Transpa Manner. 

In Addition We Render Most Profitable Deals From Our Inventory At A Lowest Service Charges. To Offer Best Opportunities And Safeguard Your Capital Is Our Sole Philosophy As We Look In The Value Against Money For Our Service To You And Desire For A Long Term Relationship.",1995,5,,,,,,,2,,,6,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand New 3Bed Apartment For Sale In Askari Tower 4 , DHA Phase 5 ISB",https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_brand_new_3bed_apartment_for_sale_in_askari_tower_4_dha_phase_5_isb-52640050-21450-1.html,Islamabad,Flat,10 Marla,"PKR
2.7 Crore",For Sale,"DHA Defence, Islamabad, Islamabad Capital","3 Bedroom
3 Bathroom
Drawing Room
Kitchen
TV Launch
Laundry Area
Store Room
Servant Room
Water
Electricity
Elevator
Nearby Masjid
Nearby School
Nearby Hospital
Nearby Shopping Malls
Nearby Restaurants
Distance From Airport 45km
More Flats, Portions, Houses, Offices, Halls, Plots, Plazas And Shops Available For , Sale And Purchase In DHA2&Amp;5 Islamabad
Contact For More Information
We Offer
1: Property Management And Care Taking
2: Remodeling
3: Renovation
4: New Construction",,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Marla (30x60) New House For sale G-13/3 Islamabad,https://www.zameen.com/Property/g_13_g-13_3_8_marla_30x60_new_house_for_sale_g-13_3_islamabad-52712650-3339-1.html,Islamabad,House,8 Marla,"PKR
6.2 Crore",For Sale,"G-13, Islamabad, Islamabad Capital","Brand New 8 Marla (30x60) House For sale in Sector G-13/3 Islamabad. Triple Story basement Ground & 1st Floor. 

7-Bedroom 
7-Bath Room
3-kitchen
3-Drawing Rooms
3-sitting launch 
1-Servant quarter attach bath
3-Car Parking space

Sui Gas Meter Installed, water bore & electricity 
40 feet wide street
safe & secure environment & Surroundings
near Markaz, Masjid & shool 
ideally located in G-13/3

for visit or more details contact:
Advice Estate G-13/4 Islamabad.",2025,3,,,,,,,,,,7,6,1,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Designed House in the CDA LOP clear area Available In Jinnah Garden Phase 1 Islamabad,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_modern_designed_house_in_the_cda_lop_clear_area_available_in_jinnah_garden_phase_1_islamabad-50964969-1421-1.html,Islamabad,House,8 Marla,"PKR
3.6 Crore",For Sale,"FECHS, Islamabad, Islamabad Capital","Brand New Designer house in CDA Lop Clear area. 

Size:7 Marla (30x60)

Accommodation:
5 Bedrooms with attached Bathrooms. 
TV Lounge,Kitchen and Drawing room on each floor
Powder Bath
Servant room with bath and kitchen
Underground Electricity and water supply available 
Gas available in the street and also applied 
40ft Wide street
Parking for 2 Cars. 

School,Masjid and Market near this house. 

For more details and options or you want to visit please contact at given number.",2025,2,,,,,,,2,,,5,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8 RENOVATED HOUSE FOR SALE ON VERY PRIME LOCATION,https://www.zameen.com/Property/islamabad_f-8_f8_renovated_house_for_sale_on_very_prime_location-52707573-166-1.html,Islamabad,House,3.6 Kanal,"PKR
63 Crore",For Sale,"F-8, Islamabad, Islamabad Capital","f8 house for sale 
5 bedroom
drawing dining 
TV LOUNGE 
servant quatars
front back lawn",,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR SALE 8 Marla Corner House In DHA Homes (Oleander Sector),https://www.zameen.com/Property/dha_valley_oleander_sector_oleander_sector_-_dha_homes_for_sale_8_marla_corner_house_in_dha_homes_oleander_sector-52627700-16825-1.html,Islamabad,House,8 Marla,"PKR
1.56 Crore",For Sale,"DHA Defence, Islamabad, Islamabad Capital","Beautifully located sun-facing house with extra front & side lawn. 
Corner unit ideal for families looking for privacy and space!

Features:
* Prime location in Oleander Sector
* Spacious layout 3 bedrooms, drawing/dining, lounge
* Extra land on front and side lawn
* Ideal for residence or investment
* Peaceful environment, ready-to-move-in

Demand: 1.5 crore

For details or a visit, contact now!",2023,2,,,,,,,2,,,3,3,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Apartment Available For Sale In F 11,https://www.zameen.com/Property/islamabad_f-11_new_apartment_available_for_sale_in_f_11-52719021-163-1.html,Islamabad,Flat,16 Marla,"PKR
4.9 Crore",For Sale,"F-11, Islamabad, Islamabad Capital","F, 11, New title flooring renovated apartment available for sale 4 bedroom attach bath drawing dining TV lounge kitchen car parking
The 3600 Square Feet property is great for a comfortable family life. A Flat like this does not pop up too often. So, take our word and avail this once in a lifetime offer. This property for sale is great not just for living but also as an investment. Finding a proper piece of real estate in a city like F-11 is now easier because we have one for you. Your home in F-11 will soon become a centre of attraction for extended family members. With a price of PKR Rs. 49000000 this is the best property you can find in F-11. 

You can find out more about the property below. 
The building includes a well-designed lobby. 
Impress your guests with this spacious and gorgeous drawing room. 
Physical activity is essential for children, so the kids' play area adjoining the property is great for the purpose. 
You can enjoy superior air-quality with a central air-conditioning system that is part of the Flat. 
A prayer room is a great addition to the Flat to hold religious gatherings. 
Double glazed windows offer security as well as look beautiful in the Flat. 
The attached dining area of this Flat will help maintain your guests' privacy. 


Hurry up and call us.",,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APARTMENT FOR SALE,https://www.zameen.com/Property/f_8_the_centaurus_apartment_for_sale-52636869-8349-1.html,Islamabad,Flat,5.1 Marla,"PKR
5.6 Crore",For Sale,"F-8, Islamabad, Islamabad Capital","1 Bedroom hall kitchen 1 washroom 
1 laundry area 
1152 sq feet 
1st floor centuarus A tower
iner facing 
(REASONABLE PRICE)",2025,2,,,,,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FURNISHED FLAT FOR SALE, RUNNING ON ",https://www.zameen.com/Property/islamabad_e-11_furnished_flat_for_sale_running_on_-52305660-329-1.html,Islamabad,Flat,1.8 Marla,"PKR
60 Lakh",For Sale,"E-11, Islamabad, Islamabad Capital","FURNISHED FLAT FOR SALE
FULLY FURNISHED APPARTMEN
RUNNING ON GOOD 
AL INCOME COMING 35,000/-
LOCATION E-11 MAIN DOUBLE ROAD
 **** CAN BE RUN ON AIR BNB ******",2020,,,,,,,,,,,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corner Double Story House for Sale CBR Town, Block C",https://www.zameen.com/Property/cbr_town_phase_1_cbr_town_phase_1_-_block_c_corner_double_story_house_for_sale_cbr_town_block_c-52526144-3149-1.html,Islamabad,House,8 Marla,"PKR
3.5 Crore",For Sale,"CBR Town, Islamabad, Islamabad Capital","Key Features:
 Double Storey well-constructed house on a corner plot
 5 Spacious Bedrooms with attached bathrooms
 2 Drawing & Dining Rooms perfect for formal guests
 2 TV Lounges separate family spaces on both floors
 2 Kitchens one on each floor for convenience
 Servant Quarter with attached bath
 Garage (7 32) with a separate gate for added privacy
________________________________________
 Utilities & Amenities:
 Sui Gas Connection
 2 Separate Electric Meters
 Private Water Bore uninterrupted water supply
 Wide street access & peaceful environment
 Ideal for families looking for comfort and functionality
________________________________________
 Perfect for: Families seeking a ready-to-move, corner house with modern amenities in a well-developed sector of Islamabad. 
 Contact Now to schedule a visit or for more details!",,4,,,,,,,2,,,5,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand New Triple Story Artistic Residence in the Heart of F-7 Where Luxury Meets Elegance,https://www.zameen.com/Property/islamabad_f-7_brand_new_triple_story_artistic_residence_in_the_heart_of_f-7_where_luxury_meets_elegance-52611489-165-1.html,Islamabad,House,1.3 Kanal,"PKR
56 Crore",For Sale,"F-7, Islamabad, Islamabad Capital","Step into a world of sophistication with this one-of-a-kind, triple-storey masterpiece nestled in the prestigious and highly sought-after neighborhood of F-7, Islamabad. This newly constructed home is a perfect blend of contemporary design and timeless craftsmanship, offering a lifestyle reserved for the elite. 

 Key Features:

 Prime VVVIP Location in F-7
Located in one of Islamabads most secure, central, and upscale sectors, this property enjoys unmatched access to top-tier amenities, elite schools, fine dining, and diplomatic enclaves. 

 Lucrative al Value
Ideal for both investors and end-users projected al income of $5000$6000 per month due to its high-end features and prime location. 

 Brand New First Entry
Be the very first to experience the luxury of this newly built residence. Every corner reflects freshness, precision, and elegance. 

 Triple Storey Layout with 3 Separate Portions
Perfect for multi-family living, high-end al, or ambassadorial use with complete privacy across floors. 

 6 Spacious Bedrooms
Each bedroom is thoughtfully designed to offer comfort, natural light, and premium aesthetics. 

 3 Modern Kitchens + Separate Spice Kitchens
Enjoy culinary excellence with three stylish kitchens complemented by separate spice kitchens for traditional cooking needs. 

 Artistic & Elegant Design
From imported tiles to aesthetic wall textures and contemporary lighting, every inch of this home is a visual delight. 

 A++ Grade Construction
Built with precision using premium quality materials and imported fixtures. Designed to stand the test of time. 

 Wooden Stairs & Ceilings
Luxurious wooden staircases and stunning ceiling finishes enhance the warmth and charm of this beautiful home. 

 Smart Home Features
Equipped with modern smart technologies for lighting, climate control, and security all at your fingertips. 

 Premium European Bathroom Fittings
Experience luxury and comfort with state-of-the-art sanitary ware imported from Europe. 

 Visits By Appointment Only
This exclusive listing is available for private viewings only. Book your appointment today to experience the magic firsthand. 
For More Detail :
View Contact Detail
View Contact Detail",,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Marla Brand New Double Unit House. Available For Sale In F-17 MPCHS Islamabad.,https://www.zameen.com/Property/islamabad_f-17_7_marla_brand_new_double_unit_house_available_for_sale_in_f-17_mpchs_islamabad-52061559-335-1.html,Islamabad,House,7 Marla,"PKR
2.9 Crore",For Sale,"F-17, Islamabad, Islamabad Capital","7 Marla Brand New Double Unit House. 
Available For Sale In F-17 MPCHS Islamabad. 
House Dimension 30*60
4 Bedrooms. 
6 Baths. 
2 Drawing Dining. 
2 TV Lounge. 
2 Kitchen. 
2 Car Parking Space. 
Electricity And Water Available. 

Interested People Can Contact Easily. 

F-17 MPCHS is a Good Sector for Residence. 
Because On Main Fateh Jhang Road. 
Near to Motorway Interchange. 
Project of Multi. 
Neat and Clean. 
24 Hours Security. 
All Facilities Available Like Banks , Schools , Restaurants ETC.",2024,2,,,,,,,2,,,4,6,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
